[nice 64 prompts, greedy, 300 tokens, robust 0.3/8] lanes 64, ticks 311 (prompts 6-11 tokens + 300 generated), seed mode: robust 0.3/8
Newton rsqrt over all sites/lanes/ticks: worst relErr inf at tick 79; divergent lane-site events 16; lanes that ever diverge 1
max|scan state| 4.81 at tick 162; max|norm input| 0.71; max ms/hi 15.86 at tick 79; min ms/lo 0.673 at tick 37
lanes in a repetition loop (<= 3 distinct tokens in the last 24): at tick 77: 2, 155: 3, 310: 5 of 64
tick | worst Newton relErr | divergent | max|S| | max ms/hi | min ms/lo | lanes looping
   0 | 4.84e-12 | 0 | 0.36 | 0.96 | 1.589 | 0
  12 | 2.39e-06 | 0 | 1.46 | 1.07 | 1.002 | 0
  24 | 7.51e-06 | 0 | 2.12 | 1.03 | 0.878 | 0
  36 | 7.51e-06 | 0 | 2.39 | 1.52 | 0.938 | 0
  48 | 7.51e-06 | 0 | 2.76 | 1.26 | 0.968 | 1
  60 | 7.51e-06 | 0 | 3.30 | 1.01 | 0.999 | 2
  72 | 7.51e-06 | 0 | 3.73 | 1.05 | 0.920 | 2
  84 | 7.51e-06 | 0 | 3.98 | 1.02 | 0.989 | 2
  96 | 1.25e-07 | 0 | 4.08 | 1.12 | 0.927 | 3
 108 | 7.51e-06 | 0 | 4.07 | 1.65 | 0.994 | 3
 120 | 2.84e-07 | 0 | 4.13 | 2.32 | 0.937 | 3
 132 | 7.51e-06 | 0 | 4.45 | 2.92 | 1.022 | 3
 144 | 7.51e-06 | 0 | 4.69 | 3.39 | 0.946 | 3
 156 | 4.41e-07 | 0 | 4.80 | 3.74 | 0.937 | 3
 168 | 9.30e-08 | 0 | 4.80 | 4.00 | 0.948 | 3
 180 | 3.90e-08 | 0 | 4.77 | 4.19 | 1.019 | 3
 192 | 7.51e-06 | 0 | 4.73 | 4.33 | 1.008 | 3
 204 | 7.51e-06 | 0 | 4.71 | 4.44 | 0.975 | 3
 216 | 7.51e-06 | 0 | 4.69 | 4.52 | 1.021 | 3
 228 | 4.80e-08 | 0 | 4.68 | 4.58 | 0.989 | 3
 240 | 7.51e-06 | 0 | 4.67 | 4.64 | 1.009 | 3
 252 | 9.29e-08 | 0 | 4.67 | 4.68 | 0.996 | 4
 264 | 4.41e-07 | 0 | 4.67 | 4.71 | 0.904 | 4
 276 | 7.51e-06 | 0 | 4.68 | 4.73 | 1.007 | 4
 288 | 8.62e-07 | 0 | 4.69 | 4.75 | 0.993 | 4
 300 | 3.18e-08 | 0 | 4.70 | 4.77 | 1.014 | 5
 310 | 7.51e-06 | 0 | 4.71 | 4.78 | 1.022 | 5
  first divergence lane 40 {'tick': 50, 'site': 'ln_out', 'ms': 0.010097115247880959, 'ms_range': [9.766286104000866e-05, 0.0009551167549747804]} prompt: The castle stood on a hill overlooking
