tick,wall_layer_loop_s,driver_request_to_reply_s,boots,eval_ms,boot_ms,norm_boot_ms,timer_sum_ms_NOT_A_WALL_CLOCK,recorder_ms,enc_pt_ms,pt_cache_calls,pt_cache_misses,gpu0_pool_used_gb,gpu0_pool_reserved_gb,gpu0_device_used_gb,gpu1_pool_used_gb,gpu1_pool_reserved_gb,gpu1_device_used_gb,lanes,generating_lanes,raw_top1_agree,pick_agree,relerr_rms_median,relerr_rms_p90,relerr_rms_max,bootstraps_recorded,max_overflow_in_tick,bootstraps_over_512_in_tick
0,201.87,316.0,577,124551,85131,44116,209683,4248,0,4416,1140,67.0244,67.0312,68.7451,66.0244,66.0312,67.7271,64,0,64,0,0.001039,0.003785,0.012397,529,501,0
1,176.473,188.0,529,119680,84300,45206,203981,3897,0,2622,4,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,0,64,0,0.0009335000000000001,0.003711,0.010394,481,507,0
2,176.188,188.0,529,119416,84039,45108,203456,3876,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,4,64,0,0.0009555,0.002377,0.005401,481,489,0
3,176.199,188.0,529,119408,84132,45148,203541,3842,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,5,64,0,0.0009245,0.00274,0.004644,481,506,0
4,176.268,188.0,529,119521,84214,45180,203735,3878,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,5,64,0,0.0008535,0.003107,0.005246,481,540,1
5,175.48,188.0,529,118792,83953,45082,202747,3726,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,6,64,0,0.001338,0.002704,0.004496,481,486,0
6,175.563,188.0,529,118821,84048,45159,202870,3826,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,11,64,0,0.001158,0.0029,0.005887,481,510,0
7,176.432,188.0,529,119644,84195,45171,203840,3916,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,15,64,0,0.0011125,0.003174,0.008723,481,471,0
8,176.284,188.0,529,119522,84253,45251,203776,3877,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,18,64,0,0.001232,0.002652,0.004829,481,507,0
