tick,wall_layer_loop_s,driver_request_to_reply_s,boots,eval_ms,boot_ms,norm_boot_ms,timer_sum_ms_NOT_A_WALL_CLOCK,recorder_ms,enc_pt_ms,pt_cache_calls,pt_cache_misses,gpu0_pool_used_gb,gpu0_pool_reserved_gb,gpu0_device_used_gb,gpu1_pool_used_gb,gpu1_pool_reserved_gb,gpu1_device_used_gb,lanes,generating_lanes,raw_top1_agree,pick_agree,relerr_rms_median,relerr_rms_p90,relerr_rms_max,bootstraps_recorded,max_overflow_in_tick,bootstraps_over_512_in_tick
133,176.081,188.0,529,119498,83707,44950,203207,3304,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0020285,0.00466,0.008243,481,493,0
134,175.868,188.0,529,119327,83626,44945,202954,3268,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0027745,0.006657,0.009617,481,496,0
135,175.515,188.0,529,118977,83534,44905,202512,3228,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0022825,0.005768,0.013577,481,487,0
136,175.38,188.0,529,118867,83492,44879,202360,3159,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002406,0.00637,0.009988,481,476,0
137,175.92,188.0,529,119309,83616,44927,202926,3300,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.002513,0.005781,0.008321,481,487,0
138,176.122,188.0,529,119544,83655,44975,203200,3296,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0027015,0.007117,0.014543,481,483,0
139,175.943,188.0,529,119370,83649,44954,203020,3274,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0032145,0.006943,0.013832,481,515,1
140,175.945,188.0,529,119411,83588,44953,203000,3249,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0023575,0.004499,0.015788,481,497,0
141,175.356,188.0,529,118868,83481,44861,202350,3174,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.003264,0.008595,0.016467,481,464,0
142,175.647,188.0,529,119124,83505,44859,202630,3241,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,63,0.0024655,0.007799,0.032061,481,510,0
143,175.994,188.0,529,119459,83632,44947,203092,3240,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0024605,0.005518,0.01472,481,479,0
144,175.696,188.0,529,119144,83687,44958,202832,3259,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.001797,0.005522,0.02282,481,477,0
145,175.63,188.0,529,119065,83700,44934,202766,3258,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,62,63,0.001861,0.005144,0.011297,481,502,0
146,175.513,188.0,529,118939,83648,44970,202588,3272,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,64,64,0.0023305,0.005633,0.007957,481,487,0
147,175.922,188.0,529,119403,83669,44950,203073,3251,0,2622,0,73.0244,73.0312,74.7451,72.0244,72.0312,73.7271,64,64,63,64,0.0024485,0.005606,0.01297,481,480,0
