utc,pid,serve_dir,served,vmrss_kb,vmhwm_kb,rssanon_kb,mappings,gpu0_used_mib,gpu1_used_mib
15:45:56Z,204307,/root/demo/s37/serve_LONG/serve,7,179870764,179870764,179402580,1252,76539,75497
15:46:57Z,204307,/root/demo/s37/serve_LONG/serve,7,179870764,179870764,179402580,1252,76539,75497
15:47:57Z,204307,/root/demo/s37/serve_LONG/serve,8,179870764,179870764,179402580,1252,76539,75497
15:48:57Z,204307,/root/demo/s37/serve_LONG/serve,8,179870764,179870764,179402580,1252,76539,75497
15:49:57Z,204307,/root/demo/s37/serve_LONG/serve,8,179870764,179870764,179402580,1252,76539,75497
15:50:57Z,204307,/root/demo/s37/serve_LONG/serve,9,179870764,179870764,179402580,1252,76539,75497
15:51:57Z,204307,/root/demo/s37/serve_LONG/serve,9,179870764,179870764,179402580,1252,76539,75497
15:52:57Z,204307,/root/demo/s37/serve_LONG/serve,9,179870764,179870764,179402580,1252,76539,75497
15:53:57Z,204307,/root/demo/s37/serve_LONG/serve,10,179870764,179870764,179402580,1252,76539,75497
15:54:57Z,204307,/root/demo/s37/serve_LONG/serve,10,179870764,179870764,179402580,1252,76539,75497
15:55:57Z,204307,/root/demo/s37/serve_LONG/serve,10,179870764,179870764,179402580,1252,76539,75497
15:56:57Z,204307,/root/demo/s37/serve_LONG/serve,11,179870764,179870764,179402580,1252,76539,75497
15:57:57Z,204307,/root/demo/s37/serve_LONG/serve,11,179870764,179870764,179402580,1252,76539,75497
15:58:57Z,204307,/root/demo/s37/serve_LONG/serve,11,179870764,179870764,179402580,1252,76539,75497
15:59:57Z,204307,/root/demo/s37/serve_LONG/serve,12,179870764,179870764,179402580,1252,76539,75497
16:00:57Z,204307,/root/demo/s37/serve_LONG/serve,12,179870764,179870764,179402580,1252,76539,75497
16:01:57Z,204307,/root/demo/s37/serve_LONG/serve,12,179870764,179870764,179402580,1252,76539,75497
16:02:57Z,204307,/root/demo/s37/serve_LONG/serve,12,179870764,179870764,179402580,1252,76539,75497
16:03:57Z,204307,/root/demo/s37/serve_LONG/serve,13,179870764,179870764,179402580,1252,76539,75497
16:04:57Z,204307,/root/demo/s37/serve_LONG/serve,13,179870764,179870764,179402580,1252,76539,75497
16:05:58Z,204307,/root/demo/s37/serve_LONG/serve,13,179870764,179870764,179402580,1252,76539,75497
16:06:58Z,204307,/root/demo/s37/serve_LONG/serve,14,179870764,179870764,179402580,1252,76539,75497
16:07:58Z,204307,/root/demo/s37/serve_LONG/serve,14,179870764,179870764,179402580,1252,76539,75497
16:08:58Z,204307,/root/demo/s37/serve_LONG/serve,14,179870764,179870764,179402580,1252,76539,75497
16:09:58Z,204307,/root/demo/s37/serve_LONG/serve,15,179870764,179870764,179402580,1252,76539,75497
16:10:58Z,204307,/root/demo/s37/serve_LONG/serve,15,179870764,179870764,179402580,1252,76539,75497
16:11:58Z,204307,/root/demo/s37/serve_LONG/serve,15,179870764,179870764,179402580,1252,76539,75497
16:12:58Z,204307,/root/demo/s37/serve_LONG/serve,16,179870764,179870764,179402580,1252,76539,75497
16:13:58Z,204307,/root/demo/s37/serve_LONG/serve,16,179870764,179870764,179402580,1252,76539,75497
16:14:58Z,204307,/root/demo/s37/serve_LONG/serve,16,179870764,179870764,179402580,1252,76539,75497
16:15:58Z,204307,/root/demo/s37/serve_LONG/serve,16,179870764,179870764,179402580,1252,76539,75497
16:16:58Z,204307,/root/demo/s37/serve_LONG/serve,17,179870764,179870764,179402580,1252,76539,75497
16:17:58Z,204307,/root/demo/s37/serve_LONG/serve,17,179870764,179870764,179402580,1252,76539,75497
16:18:58Z,204307,/root/demo/s37/serve_LONG/serve,17,179870764,179870764,179402580,1252,76539,75497
16:19:58Z,204307,/root/demo/s37/serve_LONG/serve,18,179870764,179870764,179402580,1252,76539,75497
16:20:58Z,204307,/root/demo/s37/serve_LONG/serve,18,179870764,179870764,179402580,1252,76539,75497
16:21:58Z,204307,/root/demo/s37/serve_LONG/serve,18,179870764,179870764,179402580,1252,76539,75497
16:22:58Z,204307,/root/demo/s37/serve_LONG/serve,19,179870764,179870764,179402580,1252,76539,75497
16:23:58Z,204307,/root/demo/s37/serve_LONG/serve,19,179870764,179870764,179402580,1252,76539,75497
16:24:59Z,204307,/root/demo/s37/serve_LONG/serve,19,179870764,179870764,179402580,1252,76539,75497
16:25:59Z,204307,/root/demo/s37/serve_LONG/serve,19,179870764,179870764,179402580,1252,76539,75497
16:26:59Z,204307,/root/demo/s37/serve_LONG/serve,20,179871788,179871788,179403604,1252,76539,75497
16:27:59Z,204307,/root/demo/s37/serve_LONG/serve,20,179871788,179871788,179403604,1252,76539,75497
16:28:59Z,204307,/root/demo/s37/serve_LONG/serve,20,179871788,179871788,179403604,1252,76539,75497
16:29:59Z,204307,/root/demo/s37/serve_LONG/serve,21,179871788,179871788,179403604,1252,76539,75497
16:30:59Z,204307,/root/demo/s37/serve_LONG/serve,21,179871788,179871788,179403604,1252,76539,75497
16:31:59Z,204307,/root/demo/s37/serve_LONG/serve,21,179871788,179871788,179403604,1252,76539,75497
16:32:59Z,204307,/root/demo/s37/serve_LONG/serve,22,179871788,179871788,179403604,1252,76539,75497
16:33:59Z,204307,/root/demo/s37/serve_LONG/serve,22,179871788,179871788,179403604,1252,76539,75497
16:34:59Z,204307,/root/demo/s37/serve_LONG/serve,22,179871788,179871788,179403604,1252,76539,75497
16:35:59Z,204307,/root/demo/s37/serve_LONG/serve,23,179871788,179871788,179403604,1252,76539,75497
16:36:59Z,204307,/root/demo/s37/serve_LONG/serve,23,179871788,179871788,179403604,1252,76539,75497
16:37:59Z,204307,/root/demo/s37/serve_LONG/serve,23,179871788,179871788,179403604,1252,76539,75497
16:38:59Z,204307,/root/demo/s37/serve_LONG/serve,23,179871788,179871788,179403604,1252,76539,75497
16:39:59Z,204307,/root/demo/s37/serve_LONG/serve,24,179871788,179871788,179403604,1252,76539,75497
16:40:59Z,204307,/root/demo/s37/serve_LONG/serve,24,179871788,179871788,179403604,1252,76539,75497
16:41:59Z,204307,/root/demo/s37/serve_LONG/serve,24,179871788,179871788,179403604,1252,76539,75497
16:43:00Z,204307,/root/demo/s37/serve_LONG/serve,25,179871788,179871788,179403604,1252,76539,75497
16:44:00Z,204307,/root/demo/s37/serve_LONG/serve,25,179871788,179871788,179403604,1252,76539,75497
16:45:00Z,204307,/root/demo/s37/serve_LONG/serve,25,179871788,179871788,179403604,1252,76539,75497
16:46:00Z,204307,/root/demo/s37/serve_LONG/serve,26,179871788,179871788,179403604,1252,76539,75497
16:47:00Z,204307,/root/demo/s37/serve_LONG/serve,26,179871788,179871788,179403604,1252,76539,75497
16:48:00Z,204307,/root/demo/s37/serve_LONG/serve,26,179871788,179871788,179403604,1252,76539,75497
16:49:00Z,204307,/root/demo/s37/serve_LONG/serve,27,179871788,179871788,179403604,1252,76539,75497
16:50:00Z,204307,/root/demo/s37/serve_LONG/serve,27,179871788,179871788,179403604,1252,76539,75497
16:51:00Z,204307,/root/demo/s37/serve_LONG/serve,27,179871788,179871788,179403604,1252,76539,75497
16:52:00Z,204307,/root/demo/s37/serve_LONG/serve,28,179871788,179871788,179403604,1252,76539,75497
16:53:00Z,204307,/root/demo/s37/serve_LONG/serve,28,179871788,179871788,179403604,1252,76539,75497
